user,item,rating
99999,7110928,
99999,60008032,
99999,60090367,
99999,006016848X,
99999,60557257,
99999,61031992,
99999,62502182,
99999,64471101,
99999,99993805,6
99999,140042598,
99999,140276904,
99999,014027927X,
99999,140279288,
99999,140620338,
99999,142000221,
99999,316096199,
99999,316182540,
99999,330375253,
99999,345339711,10
99999,345339738,10
99999,345447840,
99999,380731851,
99999,380796104,
99999,385504209,10
99999,440211727,
99999,440213282,
99999,440220602,
99999,440226406,
99999,446602612,
99999,446672211,
99999,451156609,
99999,451160444,
99999,451167317,
99999,451167805,
99999,451169514,
99999,451169522,
99999,451172817,
99999,451177096,
99999,515132020,
99999,553263218,
99999,553296981,4
99999,590660543,
99999,618002227,10
99999,671039725,
99999,671695304,
99999,743424425,
99999,749336501,
99999,749397543,
99999,1551667010,
99999,20199600,
99999,002542730X,
99999,28604202,
99999,312195516,
99999,345298349,
99999,345370775,
99999,345372050,
99999,034538184X,
99999,345386108,
99999,044021145X,
99999,440213525,
99999,440214041,
99999,446322180,
99999,446357405,
99999,449134482,
99999,449217264,
99999,449219569,
99999,449221393,
99999,449221431,
99999,449221873,
99999,451173139,
99999,051511264X,
99999,515113328,
99999,515120278,
99999,553560441,
99999,059035342X,
99999,671004530,
99999,671004549,
99999,671004573,
99999,671027123,
99999,671461494,
99999,671701231,
99999,671741195,
99999,671758896,
99999,671867172,
99999,671888587,
99999,679720200,
99999,684810395,
99999,684832291,
99999,080410526X,
99999,155874262X,
99999,000649840X,
99999,60086386,
99999,60175400,
99999,006019491X,
99999,60199652,
99999,60392452,
99999,60928336,
99999,60987529,
99999,006098824X,
99999,64400557,
99999,142000205,
99999,142001740,
99999,156005891,
99999,156006529,
99999,312244266,
99999,312278586,
99999,312305060,
99999,312978383,
99999,316569321,
99999,316666343,
99999,316781266,
99999,316782505,
99999,316789844,
99999,316899984,
99999,330367358,
99999,345339681,8
99999,345353145,
99999,345370805,
99999,345443683,
99999,345446860,
99999,374281602,
99999,375400117,
99999,375411550,
99999,375506039,
99999,375703063,
99999,375703861,
99999,037570504X,
99999,375707972,
99999,375727345,
99999,380710811,
99999,380717018,
99999,380718332,
99999,380718340,
99999,380789035,
99999,038079487X,
99999,385312202,
99999,038531258X,
99999,385314744,
99999,385335121,
99999,385335482,
99999,385335881,
99999,385497466,
99999,385502532,
99999,385720106,
99999,385720955,
99999,425081818,
99999,425107469,
99999,425147622,
99999,425154092,
99999,425158616,
99999,425162443,
99999,425163407,
99999,440202043,
99999,440221471,
99999,044022165X,
99999,440222656,
99999,440223237,
99999,440224853,
99999,441005764,
99999,446310786,
99999,446359866,
99999,446364193,
99999,044651862X,
99999,446519081,
99999,446603716,
99999,446604402,
99999,446606383,
99999,446608955,
99999,044661162X,
99999,449002632,
99999,449006344,
99999,449911446,
99999,451184718,
99999,451184963,
99999,451191013,
99999,451210743,
99999,452260116,
99999,452264464,
99999,452282829,
99999,505525526,
99999,515130044,
99999,055326611X,
99999,553273914,
99999,553278002,
99999,553584049,
99999,590353403,
99999,067082982X,
99999,670839531,
99999,670844527,
99999,670858692,
99999,670894184,
99999,670894508,
99999,671021001,
99999,671027360,8
99999,671038184,
99999,067169507X,
99999,679419454,
99999,679419462,
99999,679450432,
99999,067976402X,
99999,679781587,
99999,684857820,
99999,684859734,
99999,743417682,
99999,747532745,
99999,747538484,
99999,747546290,
99999,747551006,
99999,786866276,
99999,080410753X,
99999,804114986,
99999,080411868X,
99999,812543262,
99999,812570944,
99999,821776037,
99999,874776945,
99999,1565122968,
99999,1878424319,
99999,60934719,
99999,61031550,
99999,64407683,
99999,64407691,
99999,64408639,
99999,99464810,
99999,140233903,
99999,140620184,
99999,312421273,
99999,312954468,
99999,312971230,
99999,316779423,
99999,345335651,
99999,345345738,
99999,345350499,
